trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9995}",20,6,-52.42071143368265,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.9990000000000001}",20,0,-68.50069989458544,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9985000000000002}",25,0,-157.48546959596194,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9980000000000002}",20,0,-167.13714607098157,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.9975000000000003}",30,16,-154.28333930037385,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 3}",1
6,False,"{'a': 0.7, 'e': 0.9970000000000003}",30,0,-174.24508727574946,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.9965000000000004}",20,0,-125.8877409579427,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9960000000000004}",20,0,-203.90613374172682,"{0: 6, 1: 4, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9955000000000005}",25,0,-113.35937497699805,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9950000000000006}",20,0,-95.14589924765464,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.9945000000000006}",25,0,-166.1038376394137,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.7, 'e': 0.9940000000000007}",25,0,-113.49996768527664,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.9935000000000007}",20,0,-84.55829904881115,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.9930000000000008}",25,0,-144.10826945137774,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.9925000000000008}",20,0,-62.783985119329124,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.9920000000000009}",30,0,-177.6681747258635,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.9915000000000009}",20,10,-45.28028102238559,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.991000000000001}",25,12,-107.72144093379994,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.7, 'e': 0.990500000000001}",25,0,-136.49984746388316,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.9900000000000011}",25,0,-131.5039405863699,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.9895000000000012}",30,0,-76.07464031618015,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.9890000000000012}",25,0,-73.5130862306925,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.9885000000000013}",25,0,-122.18759268405573,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.9880000000000013}",20,0,-80.2058822550753,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.9875000000000014}",30,0,-217.55031357895692,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.9870000000000014}",20,0,-135.86217064440424,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
27,False,"{'a': 0.7, 'e': 0.9865000000000015}",25,0,-118.8872585001712,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.9860000000000015}",20,0,-176.16920616570488,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.7, 'e': 0.9855000000000016}",25,0,-18.96229296307827,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.9850000000000017}",30,15,-51.08456407531215,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.7, 'e': 0.9845000000000017}",25,0,-76.98559614103544,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.9840000000000018}",20,0,-38.417222413418045,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
