trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-139.0060752005837,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-119.50783887804842,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-146.06326326940015,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-190.13657446960195,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-88.35544084382482,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,21,-5.257032522461458,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-97.2688346878063,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-253.89334244339136,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-114.63035228093592,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,5,-90.47234769379277,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-164.4289894832655,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-64.96210095832832,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-144.0308773003586,"{0: 4, 1: 0, 2: 5, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-83.85568635642485,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-195.36386668880593,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-109.42035998758708,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,3,-140.59812762268575,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-30.480087038233517,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-180.28453818679958,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.0}",30,0,-95.75372381246345,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-174.89111784673065,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-154.5043198976421,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-75.73972163409167,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-132.6457569861756,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-52.5365538098226,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-51.59571489141285,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-154.53112175746998,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-111.06206150053,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-51.664917890109045,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-125.43391811162793,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
